,insurance,make,model,mot,service_history,title,price,num_owners_from_new_text,reg,car_type,miles,eng,bhp,gears,fuel,extra_detail,seller_type,distance,seller_town,link
1059,,Citroen,C3,,,Peugeot 207 1.4 16v SE 5dr,1200.0,PANROOF+LOW MILES,2007 (07 reg),Hatchback,73000.0,1.4L,90bhp,Manual,Petrol,,"
Trade seller - See all 31 cars
","
halifax - 
87 miles away
                ",halifax,/classified/advert/201907120020401?price-to=4000&postcode=ne46an&advertising-location=at_cars&sort=distance&minimum-badge-engine-size=1.4&radius=1501&maximum-badge-engine-size=1.4&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&page=87
1060,,Ford,Fiesta,,,Ford Fiesta 1.4 Zetec Climate 5dr,895.0,2 Owners Full History Long MOT,2007 (56 reg),Hatchback,117000.0,1.4L,79bhp,Manual,Petrol,,"
Private seller
    ","
halifax - 
87 miles away
                ",halifax,/classified/advert/201907270500016?price-to=4000&postcode=ne46an&advertising-location=at_cars&sort=distance&minimum-badge-engine-size=1.4&radius=1501&maximum-badge-engine-size=1.4&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&page=87
1061,,MINI,Hatch,,,Volkswagen Polo 1.4 TDI BlueMotion Tech 2 3dr,1800.0,FULL SERVICE HISTORY-ZERO TAX,2009 (09 reg),Hatchback,144482.0,1.4L,79bhp,Manual,Diesel,,"
Trade seller - See all 13 cars
","
halifax - 
87 miles away
                ",halifax,/classified/advert/201907039672981?price-to=4000&postcode=ne46an&advertising-location=at_cars&sort=distance&minimum-badge-engine-size=1.4&radius=1501&maximum-badge-engine-size=1.4&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&page=87
1062,,Fiat,Punto,,,Hyundai i20 1.4 Style 5dr,3795.0,12 MONTHS WARRANTY,2011 (61 reg),Hatchback,49880.0,1.4L,98bhp,Manual,Petrol,,"
Trade seller - See all 19 cars
","
halifax - 
87 miles away
                ",halifax,/classified/advert/201905077700059?price-to=4000&postcode=ne46an&advertising-location=at_cars&sort=distance&minimum-badge-engine-size=1.4&radius=1501&maximum-badge-engine-size=1.4&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&page=87
1063,,MINI,Hatch,,,Citroen Nemo Multispace 1.4 HDi 8v 5dr,3150.0,"More than FSH, Park sens & A/C",2009 (09 reg),MPV,76700.0,1.4L,70bhp,Manual,Diesel,,"
Private seller
    ","
wakefield - 
87 miles away
                ",wakefield,/classified/advert/201907200270790?price-to=4000&postcode=ne46an&advertising-location=at_cars&sort=distance&minimum-badge-engine-size=1.4&radius=1501&maximum-badge-engine-size=1.4&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&page=87
1064,,Peugeot,208,,,Vauxhall Astra 1.4 i VVT 16v SRi 5dr,2995.0,3months warranty x2keys FDH,2012 (12 reg),Hatchback,74000.0,1.4L,99bhp,Manual,Petrol,,"
Trade seller - See all 6 cars
","
halifax - 
87 miles away
                ",halifax,/classified/advert/201906138959821?price-to=4000&postcode=ne46an&advertising-location=at_cars&sort=distance&minimum-badge-engine-size=1.4&radius=1501&maximum-badge-engine-size=1.4&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&page=87
1065,,Ford,Fiesta,,,Hyundai i20 1.4 CRDi Style 5dr,2799.0,Low Tax - 2 Keys-pristine,2009 (59 reg),Hatchback,75000.0,1.4L,89bhp,Manual,Diesel,,"
Trade seller - See all 87 cars
","
choppington - 
13 miles away
                ",choppington,/classified/advert/201907240399536?price-to=4000&postcode=ne46an&advertising-location=at_cars&sort=distance&minimum-badge-engine-size=1.4&radius=1501&maximum-badge-engine-size=1.4&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&page=87
1066,,Honda,Jazz,mot,,Vauxhall Corsa 1.4 i 16v SXi 5dr,3999.0,5dr-AUTOMATIC-45K-CRUISE,2011 (11 reg),Hatchback,45000.0,1.4L,99bhp,Automatic,Petrol,,"
Trade seller - See all 65 cars
","
cramlington - 
8 miles away
                ",cramlington,/classified/advert/201907220340137?price-to=4000&postcode=ne46an&advertising-location=at_cars&sort=distance&minimum-badge-engine-size=1.4&radius=1501&maximum-badge-engine-size=1.4&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&page=87
1067,,Ford,Fiesta,mot,,Citroen C3 HDI 5DR 1.4cc***Low Mileage With Bluetooth …,4000.0,ONE OWNER FROM NEW,2013 (63 reg),Hatchback,41880.0,1.4L,70bhp,Manual,Diesel,,"
Trade seller - See all 83 cars
","
wilmslow - 
117 miles away
                ",wilmslow,/classified/advert/201907160135218?advertising-location=at_cars&minimum-badge-engine-size=1.4&price-to=4000&sort=distance&radius=1501&maximum-badge-engine-size=1.4&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&postcode=ne46an&page=88
1068,,Vauxhall,Meriva,,,Ford Fiesta 1.4 Titanium 5dr,3900.0,FSH- HIGH SPEC - LOW MILES,2011 (11 reg),Hatchback,62883.0,1.4L,94bhp,Manual,Petrol,,"
Private seller
    ","
batley - 
87 miles away
                ",batley,/classified/advert/201907099898797?advertising-location=at_cars&minimum-badge-engine-size=1.4&price-to=4000&sort=distance&radius=1501&maximum-badge-engine-size=1.4&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&postcode=ne46an&page=88
1069,,SEAT,Ibiza,mot,,MINI Hatch 1.4 One 3dr,2380.0,IDEAL FIRST CAR + A MUST SEE ,2007 (07 reg),Hatchback,76182.0,1.4L,95bhp,Manual,Petrol,,"
Trade seller - See all 53 cars
","
liversedge - 
87 miles away
                ",liversedge,/classified/advert/201907119944845?advertising-location=at_cars&minimum-badge-engine-size=1.4&price-to=4000&sort=distance&radius=1501&maximum-badge-engine-size=1.4&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&postcode=ne46an&page=88
1070,,Vauxhall,Astra,,,Fiat Punto Evo 1.4 MultiAir Sporting 3dr,2500.0,FSH + 2 KEYS ,2010 (60 reg),Hatchback,72909.0,1.4L,135bhp,Manual,Petrol,,"
Trade seller - See all 53 cars
","
liversedge - 
87 miles away
                ",liversedge,/classified/advert/201907029650553?advertising-location=at_cars&minimum-badge-engine-size=1.4&price-to=4000&sort=distance&radius=1501&maximum-badge-engine-size=1.4&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&postcode=ne46an&page=88
1071,,Hyundai,i20,,,MINI Hatch 1.4 One 3dr,3000.0,IDEAL 1ST CAR + FSH + 2 KEYS,2007 (57 reg),Hatchback,41765.0,1.4L,95bhp,Manual,Petrol,,"
Trade seller - See all 53 cars
","
liversedge - 
87 miles away
                ",liversedge,/classified/advert/201907160145405?advertising-location=at_cars&minimum-badge-engine-size=1.4&price-to=4000&sort=distance&radius=1501&maximum-badge-engine-size=1.4&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&postcode=ne46an&page=88
1072,,Vauxhall,Corsa,,,Peugeot 208 1.4 HDi FAP Allure 3dr,4000.0,FSH + 2 KEYS + TOP SPEC,2013 (13 reg),Hatchback,74711.0,1.4L,70bhp,Manual,Diesel,,"
Trade seller - See all 53 cars
","
liversedge - 
87 miles away
                ",liversedge,/classified/advert/201907119944661?advertising-location=at_cars&minimum-badge-engine-size=1.4&price-to=4000&sort=distance&radius=1501&maximum-badge-engine-size=1.4&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&postcode=ne46an&page=88
1073,,Honda,Jazz,,,Ford Fiesta 1.4 TD Style 5dr,695.0,DRIVES A1 ,2006 (06 reg),Hatchback,125000.0,1.4L,67bhp,Manual,Diesel,,"
Trade seller - See all 44 cars
","
batley - 
87 miles away
                ",batley,/classified/advert/201907150091248?advertising-location=at_cars&minimum-badge-engine-size=1.4&price-to=4000&sort=distance&radius=1501&maximum-badge-engine-size=1.4&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&postcode=ne46an&page=88
1074,,Vauxhall,Meriva,,,Honda Jazz 1.4 i-DSI SE CVT-7 5dr,2295.0,FSH+12 MONTHS MOT+AUTO ,2007 (07 reg),Hatchback,82000.0,1.4L,82bhp,Automatic,Petrol,,"
Trade seller - See all 44 cars
","
batley - 
87 miles away
                ",batley,/classified/advert/201906249340192?advertising-location=at_cars&minimum-badge-engine-size=1.4&price-to=4000&sort=distance&radius=1501&maximum-badge-engine-size=1.4&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&postcode=ne46an&page=88
1075,,MINI,Hatch,,,Ford Fiesta 1.4 TDCi Zetec 5dr,2995.0,FSH+LONG MOT ,2009 (58 reg),Hatchback,56000.0,1.4L,67bhp,Manual,Diesel,,"
Trade seller - See all 44 cars
","
batley - 
87 miles away
                ",batley,/classified/advert/201907150091068?advertising-location=at_cars&minimum-badge-engine-size=1.4&price-to=4000&sort=distance&radius=1501&maximum-badge-engine-size=1.4&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&postcode=ne46an&page=88
1076,,Honda,Jazz,,service history,Vauxhall Meriva 1.4 i 16v Life 5dr,3495.0,FULL DEALERSHIP HISTORY ,2015 (15 reg),MPV,103000.0,1.4L,99bhp,Manual,Petrol,,"
Trade seller - See all 44 cars
","
batley - 
87 miles away
                ",batley,/classified/advert/201907109907936?advertising-location=at_cars&minimum-badge-engine-size=1.4&price-to=4000&sort=distance&radius=1501&maximum-badge-engine-size=1.4&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&postcode=ne46an&page=88
1077,,Vauxhall,Meriva,mot,service history,SEAT Ibiza 1.4 Sportrider 5dr,3995.0,FSH+LONG MOT+1 OWNER ,2012 (12 reg),Hatchback,50000.0,1.4L,84bhp,Manual,Petrol,,"
Trade seller - See all 44 cars
","
batley - 
87 miles away
                ",batley,/classified/advert/201907150091747?advertising-location=at_cars&minimum-badge-engine-size=1.4&price-to=4000&sort=distance&radius=1501&maximum-badge-engine-size=1.4&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&postcode=ne46an&page=88
1078,,Vauxhall,Astra,,,Vauxhall Astra 1.4i 16V Breeze Plus 5dr,2600.0,Electronic Climate Control,2008 (58 reg),Hatchback,24509.0,1.4L,89bhp,Manual,Petrol,Manufacturer Approved,"
Trade seller - See all 223 cars
","
edinburgh - 
91 miles away
                ",edinburgh,/classified/advert/201907220318375?advertising-location=at_cars&minimum-badge-engine-size=1.4&price-to=4000&sort=distance&radius=1501&maximum-badge-engine-size=1.4&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&postcode=ne46an&page=88
1079,,Peugeot,208,,service history,Hyundai i20 1.4 CRDi Style 5dr,2799.0,Low Tax - 2 Keys-pristine,2009 (59 reg),Hatchback,75000.0,1.4L,89bhp,Manual,Diesel,,"
Trade seller - See all 87 cars
","
choppington - 
13 miles away
                ",choppington,/classified/advert/201907240399536?advertising-location=at_cars&minimum-badge-engine-size=1.4&price-to=4000&sort=distance&radius=1501&maximum-badge-engine-size=1.4&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&postcode=ne46an&page=88
1080,,Ford,Fiesta,mot,,Vauxhall Corsa 1.4 Active 3Dr [ac],3991.0,MEGA USED CAR EVENT! ,2012 (12 reg),Hatchback,65948.0,1.4L,99bhp,Manual,Petrol,Franchise,"
Trade seller - See all 50 cars
","
bristol - 
246 miles away
                ",bristol,/classified/advert/201906259377416?postcode=ne46an&sort=distance&minimum-badge-engine-size=1.4&advertising-location=at_cars&radius=1501&maximum-badge-engine-size=1.4&price-to=4000&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&page=89
1081,,Ford,Fusion,mot,,"Honda Jazz 1.4 i-DSI SE Hatchback 5dr Petrol Manual (137 g/km, 82 …",850.0,,2005 (05 reg),Hatchback,105000.0,1.4L,82bhp,Manual,Petrol,,"
Trade seller - See all 75 cars
","
halifax - 
87 miles away
                ",halifax,/classified/advert/201907180212425?postcode=ne46an&sort=distance&minimum-badge-engine-size=1.4&advertising-location=at_cars&radius=1501&maximum-badge-engine-size=1.4&price-to=4000&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&page=89
